conference_name,start_date,end_date,city,country,venue,accommodation,organizer,overview,official_url,source_url,call_for_papers,cfp_deadline,cfp_url,fees_and_pricing,registration_url,program_agenda,keynote_speakers,technical_committee,sponsors,logo_url,banner_url
AI Industrial Summit 2026 (AI Next) — Sofia,2026-09-12,2026-09-12,Sofia,Bulgaria,Sofia Tech Park,Not yet announced,Not yet announced,"Applied industrial-AI, automation and IoT summit at Sofia Tech Park.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
ICIP 2026,2026-09-13,2026-09-17,Tampere,Finland,Not yet announced,Not yet announced,Not yet announced,"IEEE flagship image-processing conference with substantial AI, computer vision and machine-learning content.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
AI Infra Summit 2026,2026-09-15,2026-09-17,Santa Clara,United States,"Santa Clara Convention Center, Santa Clara, California",Official attendee hotel and travel guidance is provided through the summit's venue/travel information and partner booking process.,Kisaco Research / AI Infra Summit,"Large Silicon Valley summit focused on AI infrastructure across compute, networking, storage, data centers, data movement, models and physical AI.",https://www.ai-infra-summit.com/,https://www.ai-infra-summit.com/,"Industry summit rather than an academic paper venue. Speaker, sponsor and exhibitor applications are handled through the official summit site.",Not yet announced,https://www.ai-infra-summit.com/,Not yet announced,https://www.ai-infra-summit.com/,"220+ scheduled sessions spanning AI data centers, compute, networking, storage, AI data planes, physical AI, cloud/neocloud operations and enterprise deployment economics.",Keynote Speakers: Published speaker roster includes Calvin Smith; Chaked Roger Joseph Sayedoff; Charit Upadhyay; Chelle Izzi and more than 130 additional AI-infrastructure leaders.,"Committee: Program curated by the AI Infra Summit / Kisaco Research content team across infrastructure, compute, data-center, networking, data and physical-AI tracks.","Diamond: AWS. Platinum sponsors include Ayar Labs, Broadcom, Cognichip, Credo, d-Matrix, Eridu, Kove, Lambda, Lightmatter, Marvell, Micron, Mirantis, Qualcomm, Siemens, Solidigm and Western Digital.",,
Latin American Conference on AI Ethics 2026,2026-09-16,2026-09-18,Niteroi,Brazil,Not yet announced,Not yet announced,Not yet announced,"Second Latin American conference focused on AI ethics, governance and societal impacts.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
GO SUMMIT S-TRON Shanghai 2026,2026-09-21,2026-09-21,Shanghai,China,"S-TRON event venue, Shanghai",Not yet announced,GO SUMMIT / AGI Villa,"Founder-focused AI and deep-tech summit connecting China-based AI founders with international capital, corporates and operators, with the Shanghai stop focused on AI-native hardware and robotics.",https://gosummit.ai/,https://gosummit.ai/,No academic CFP. Attendance is application-based and founder/partner participation is curated by the organiser.,Not yet announced,https://gosummit.ai/,Not yet announced,https://gosummit.ai/,"21 Sep 2026; summit themes include AI Native, Hardware and Robotics, with keynotes, roundtables, showcases and cross-border market discussions.",Keynote Speakers: Not yet announced,Program: GO SUMMIT / AGI Villa organising team.,Not yet announced,,
Meta Connect 2026,2026-09-23,2026-09-24,Menlo Park,United States,Not yet announced,Not yet announced,Not yet announced,"Meta's developer and technology event covering AI, mixed reality and next-generation computing.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
IROS 2026 — IEEE/RSJ International Conference on Intelligent Robots and Systems,2026-09-27,2026-10-01,Pittsburgh,United States,Not yet announced,Not yet announced,Not yet announced,Major international robotics and intelligent-systems research conference.,Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
OpenAI DevDay 2026,2026-09-29,2026-09-29,San Francisco,United States,Not yet announced,Not yet announced,Not yet announced,"Developer conference focused on OpenAI APIs, models and agent-building tools.",https://openai.com/,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
The AI Conference 2026,2026-09-29,2026-10-01,San Francisco,United States,"Pier 48, Mission Rock, San Francisco, California",San Francisco accommodation is arranged independently; official event/travel information is provided through the event site.,The AI Conference,"Independent AI conference for builders, researchers, founders and technical leaders covering frontier models, agentic AI, infrastructure, safety, evaluation and real-world applications.",https://aiconference.com/,https://aiconference.com/,Industry/research conference with curated speaker and workshop submissions rather than conventional archival proceedings.,Not yet announced,https://aiconference.com/,Not yet announced,https://aiconference.com/,"Workshop day on 29 Sep followed by main conference on 30 Sep–1 Oct; 5+ tracks across AGI, LLMs, agents, infrastructure, governance, security and applied enterprise AI.","Keynote Speakers: Peter Norvig is a confirmed 2026 speaker; the event features 120+ speakers from frontier labs, startups, enterprises and academia.","Committee: Program is curated by The AI Conference content/program team with technical speakers from AI research, infrastructure, enterprise and startup communities.",Sponsor and exhibitor program is active for the 2026 edition; participating AI infrastructure and software companies are presented through the official event partner directory.,,
Zurich AI Festival 2026,2026-09-29,2026-10-03,Zurich,Switzerland,Not yet announced,Not yet announced,Not yet announced,"Citywide AI festival bundling conferences, policy events, technical sessions and community programming.",Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
AI + Environment Summit 2026,2026-09-30,2026-09-30,Dubendorf,Switzerland,Not yet announced,Not yet announced,Not yet announced,Academic summit focused on artificial intelligence applications for environmental challenges.,Not yet announced,https://aiwhatson.com/,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,Not yet announced,,
