conference_name,start_date,end_date,city,country,event_type,overview,call_for_papers,fees_and_pricing,program_agenda,keynote_speakers,technical_committee,sponsors_partners,venue,accommodation,official_url,source_url,cfp_url,registration_url,program_url,speakers_url,committee_url,sponsors_url,accommodation_url,logo_url,logo_source_type,tabs_filled,missing_tabs,publish_ready,verification_status,last_verified,organizer
Gastech 2026,2026-09-14,2026-09-17,Bangkok,Thailand,Exhibition & Conference,"Global energy exhibition and conference connecting natural gas, LNG, hydrogen, low-carbon solutions, electrification and AI-for-energy companies with policymakers, industry leaders, financiers and technology providers.","Gastech is a curated industry conference and exhibition. Conference participation, delegate, exhibitor and sponsorship opportunities are managed through the official Gastech event site.",Visitor registration and paid delegate passes are offered through the official Gastech registration system; sponsorship and exhibition packages are separately available.,"Four-day exhibition and conference, 14–17 September 2026. Published daily exhibition hours are 09:00–18:00 on 14 Sep, 09:00–19:00 on 15 Sep, 09:00–18:00 on 16 Sep and 09:00–14:00 on 17 Sep. Conference areas include Hydrogen, Decarbonisation, EPC & Gas Processing, Shipping & Marine, Commercial, Electrification and AI for Energy.","Gastech states that its speaker programme brings together ministers, CEOs and other senior energy-industry leaders; individual 2026 speaker names are published through the official conference programme.",Gastech publishes an Executive Committee through its official event site and the conference programme is managed by dmg events with industry leadership participation.,"Hosted by Thailand's Ministry of Energy. Co-hosts include Chevron and Shell. National Consortium Partners shown by the official site include PTT and Gulf, with additional official partners and sponsors.","BITEC — Bangkok International Trade & Exhibition Centre, Bangkok, Thailand","Official housing partner CDM Thailand provides preferential hotel rates. Published examples include Hyatt Place Bangkok Sukhumvit 24 from THB 2,900 and Wyndham Garden Bangkok Sukhumvit 42 from THB 3,200 single occupancy; additional official hotels are listed in the housing portal.",https://www.gastechevent.com/,https://www.gastechevent.com/,https://www.gastechevent.com/,https://www.gastechevent.com/,https://www.gastechevent.com/,https://www.gastechevent.com/,https://www.gastechevent.com/,https://www.gastechevent.com/sponsorship-opportunities/,https://accommodation.gastechevent.com/gastech2026/home/search,https://www.google.com/s2/favicons?domain=gastechevent.com&sz=256,official-domain favicon fallback,9,,YES,OFFICIAL VERIFIED,2026-09-11,
Annual EuroFinance International Treasury Management,2026-09-16,2026-09-18,Barcelona,Spain,International Treasury Conference,"35th EuroFinance International Treasury Management conference, bringing corporate treasurers, finance professionals, banks, technology suppliers, consultants and treasury solution providers together for three days of treasury strategy, risk, technology and networking.","Curated professional conference rather than an academic proceedings event; programme content is developed by EuroFinance with invited corporate treasury leaders, economists and solution providers.","Corporate treasurer/finance professional: €3,500 + 21% VAT for the 3-day conference; €4,795 + VAT for conference plus pre-conference training; €1,595 + VAT for training only. Solution providers: €5,855 + VAT conference; €7,150 + VAT conference plus training. Corporate group discounts: 5% for 2, 10% for 3–4, 15% for 5+ delegates.","Three-day main conference, 16–18 September 2026, plus optional pre-conference training on 15 September. Agenda includes Main Stage sessions, six streams, Treasury Inspiration stage, roundtables, exhibition, Innovation Hub and networking. Published sessions include geopolitical-risk scenarios, European competitiveness and managing corporate FX risk with automation and AI.","The official EuroFinance 2026 agenda publishes named corporate treasury, economics, policy and industry speakers across the Main Stage and specialist streams.",Programme is curated by EuroFinance's editorial and conference team; this is a professional treasury conference rather than an academic technical-committee event.,100+ partners participate in the exhibition and Innovation Hub. Goldman Sachs is identified on the official agenda as a sponsor of a networking break; additional sponsors and exhibitors are listed by EuroFinance.,"Barcelona, Spain — official conference venue information is provided through the EuroFinance event site.",Attendee travel and accommodation information is provided by EuroFinance for the Barcelona event.,https://www.eurofinance.com/international-treasury-event/,https://www.eurofinance.com/international-treasury-event/,https://www.eurofinance.com/international-treasury-event/,https://www.eurofinance.com/international-treasury-event/registration/,https://www.eurofinance.com/international-treasury-event/agenda/,https://www.eurofinance.com/international-treasury-event/agenda/,https://www.eurofinance.com/international-treasury-event/,https://www.eurofinance.com/international-treasury-event/,https://www.eurofinance.com/international-treasury-event/,https://www.google.com/s2/favicons?domain=eurofinance.com&sz=256,official-domain favicon fallback,9,,YES,OFFICIAL VERIFIED,2026-09-11,
Annual Meeting with Materials Science & Technology,2026-10-04,2026-10-07,Pittsburgh,United States,Materials Science Annual Meeting,"The American Ceramic Society's 128th Annual Meeting held with Materials Science & Technology 2026, covering ceramics, glass, bioceramics, energy materials, advanced materials and engineering applications.",Technical presentation and abstract participation are coordinated through the co-located MS&T technical programme and ACerS divisions; accepted contributors present in the joint meeting programme.,,"4–7 Oct 2026. Published sessions include ACerS award lectures, bioceramics sessions, the Edward Orton Jr. Memorial Lecture, annual business meeting, honors and awards banquet, Alfred R. Cooper Award sessions and a Starlab Materials Workshop.",Featured lecturers include Sabyasachi Sen; Yang Bai; Ngoc Huu Nguyen; Robert Graham Hill; Maziar Montazerian; Alexander Michaelis; Vincenzo M. Sglavo; Makio Naito.,Program is organized by The American Ceramic Society through its technical divisions and award/program committees in conjunction with MS&T.,Co-located with Materials Science & Technology 2026 and the Advanced Materials Show USA.,"David L. Lawrence Convention Center, 1000 Fort Duquesne Blvd, Pittsburgh, Pennsylvania",Official ACerS honors banquet activities are hosted at the Omni Hotel; attendees use the joint MS&T/ACerS housing programme for conference lodging.,https://ceramics.org/event/acers-128th-annual-meeting-with-materials-science-and-technology-2026/,https://ceramics.org/event/acers-128th-annual-meeting-with-materials-science-and-technology-2026/,https://www.matscitech.org/,https://www.matscitech.org/,https://ceramics.org/event/acers-128th-annual-meeting-with-materials-science-and-technology-2026/,https://ceramics.org/event/acers-128th-annual-meeting-with-materials-science-and-technology-2026/,https://ceramics.org/,https://www.matscitech.org/,https://www.matscitech.org/,https://www.google.com/s2/favicons?domain=ceramics.org&sz=256,official-domain favicon fallback,8,fees_and_pricing,YES,OFFICIAL VERIFIED,2026-09-11,The American Ceramic Society (ACerS)
Entrepreneur,2026-10-05,2026-10-05,New Delhi,India,Entrepreneurship Summit & Conference,"Entrepreneur 2026 is the 16th edition of Entrepreneur India's flagship entrepreneurship summit, bringing founders, investors, technology leaders, policy figures and growth-stage companies together in New Delhi.","This is a curated business conference rather than an academic-paper venue. The official site accepts speaker applications, award nominations, exhibitors and partnership applications.",,"One-day conference on 5 Oct 2026 with welcome address, keynote and leadership discussions, six thematic summits, startup/investor content, exhibition and awards programming.",Published 2026 speakers include Beerud Sheth; Gaurav Gupta; Ahshad Jussawala; Satya Chakravarthy; Gaurav Mangla; Geetika Mehta; Nipun Marya; Ankush Sabharwal; C.P. Gurnani; Ramanan Ramanathan and many more.,"Conference programme is led by Entrepreneur India & APAC editorial leadership; Sachin Marya is Editorial Director, Entrepreneur India & APAC.","Entrepreneur India is the official licensee of Entrepreneur USA; the event operates formal Partner with Us, Partners & Associations, exhibition and awards programmes.","Bharat Mandapam Convention Centre, New Delhi, India",,https://www.entrepreneurindia.com/,https://www.entrepreneurindia.com/,https://www.entrepreneurindia.com/speaker-registration.php,https://www.entrepreneurindia.com/conference-registration.php,https://www.entrepreneurindia.com/conference-agenda.php,https://www.entrepreneurindia.com/speakers.php,https://www.entrepreneurindia.com/,https://www.entrepreneurindia.com/,,https://www.google.com/s2/favicons?domain=entrepreneurindia.com&sz=256,official-domain favicon fallback,7,fees_and_pricing; accommodation,YES,OFFICIAL VERIFIED,2026-09-11,Entrepreneur India / Entrepreneur Media
Hacking & Cyber Security Briefing Conference,2026-10-06,2026-10-13,Kochi,India,Cybersecurity Conference & Training,"c0c0n 2026 is an eight-day cybersecurity gathering in Kochi covering information security, data protection, privacy, law-enforcement cyber operations, technical training, CTFs, hacking villages and industry collaboration.",Official CFP tracks are published for the main conference and a dedicated Law Enforcement Agency track through the c0c0n participation pages.,"Conference Individual: INR 9,999 regular / INR 6,499 discounted; Corporate INR 14,999; Student INR 4,999. Pre-conference training INR 44,999. Conference + training combos start at INR 51,498. Volume discounts apply for groups of 6–10 and 11+.","Pre-conference training 6–8 Oct; main conference 9–10 Oct with talks, panels, villages, CTFs and exhibition; post-conference training 11–13 Oct. Event also includes networking and gala activities.","Published featured participants include Jay Bavisi — President & CEO, EC-Council; V. D. Satheesan; Ramesh Chennithala; Sanju V Samson, with 200+ speakers across the event.","Hosted by Kerala Police and Information Security Research Association (ISRA) with conference tracks, CFP review and technical training coordinated by the c0c0n organizing team.","Diamond Partner: Alibi - Cyber Forensics. Platinum Partner: Federal Bank Hormis Memorial Foundation. Silver: Foresight Software Solutions; Prudent Consulting | Strike48. Bronze: Indian Oil; Spharaka Networks; Cochin International Airport. Other partners include OffSec, SICCI, CODE BLUE and BSides Bangalore.","Grand Hyatt, Bolgatty, Kochi, Kerala, India","Accommodation is not included in tickets. Delegates may request rooms at the venue or partner hotels, subject to room availability at confirmation/payment.",https://www.c0c0n.org/,https://www.c0c0n.org/,https://www.c0c0n.org/,https://www.c0c0n.org/register,https://www.c0c0n.org/,https://www.c0c0n.org/,https://www.c0c0n.org/,https://www.c0c0n.org/register,https://www.c0c0n.org/register,https://www.google.com/s2/favicons?domain=c0c0n.org&sz=256,official-domain favicon fallback,9,,YES,OFFICIAL VERIFIED,2026-09-11,Kerala Police / Information Security Research Association (ISRA)
SPE Asia Pacific Oil & Gas Conference and Exhibition 2026,2026-10-13,2026-10-15,Brisbane,Australia,Technical Conference & Exhibition,"SPE APOGCE 2026 is the Asia-Pacific region's premier upstream technical conference, focused on exploration, production, energy resilience, innovation, sustainability and the energy transition.","Manuscript submission is compulsory for accepted authors. Accepted abstracts are reviewed by the programme committee, and final manuscripts are published in OnePetro on the first day of the event.","Standard full conference: SPE Member USD 1,020; Non-Member USD 1,170; Speaker/Author/Committee/Session Chair USD 960. One-day: Member USD 665; Non-Member USD 715. Student complimentary with valid ID; visitor complimentary in advance / USD 50 onsite.","Opening and keynote session, executive plenary, panel sessions, technical sessions, knowledge-sharing ePosters, exhibition, daily networking lunches and coffee breaks, welcome reception and digital proceedings.",,"Conference Chair: Steve Trench, Santos. Technical Programme Co-Chairs: Bre Murillo, Santos; Pankaj Bhavnani, Shell QGC. Committee includes representatives from ADNOC, Adelaide University, Arrow Energy, ExxonMobil, Halliburton, Honeywell, INPEX, PETRONAS, PTTEP, Santos, Shell, SLB, Wood and others.",,"Brisbane Convention & Exhibition Centre (BCEC), South Brisbane, Australia","Official hotel block: Rydges South Bank Brisbane, 9 Glenelg St. Rates: King AUD 309; Twin AUD 319; Balcony King AUD 324, valid 10–18 Oct 2026, subject to availability.",https://www.spe-events.org/apogce2026,https://www.spe-events.org/apogce2026,https://www.spe-events.org/apogce2026/author-kit,https://www.spe-events.org/apogce2026/register-now,https://www.spe-events.org/apogce2026,https://www.spe-events.org/apogce2026,https://www.spe-events.org/apogce2026/about/committees,https://www.spe-events.org/apogce2026/sponsor,https://www.spe-events.org/apogce2026/travel-accommodation,https://www.google.com/s2/favicons?domain=spe-events.org&sz=256,official-domain favicon fallback,7,keynote_speakers; sponsors_partners,YES,OFFICIAL VERIFIED,2026-09-11,Society of Petroleum Engineers (SPE)
All Things Open Conference,2026-10-18,2026-10-20,Raleigh,United States,Open Source Technology Conference,"Large open-source, technology and web conference focused on the tools, processes and people making open source possible.","Speaker programming is curated through All Things Open's conference speaker process and includes workshops, deep dives and traditional conference sessions.","Paid registration is available through the official 2026 conference registration portal, including access options for workshops/deep dives and the conference.","19–20 Oct 2026. Day 1 features premium extended workshops, deep-dive sessions and four co-located events; Day 2 features 100+ speakers in keynotes and 30-minute sessions across multiple tracks.",Angie Jones; Kent C. Dodds; Mark Techson; Nitya Narasimhan; Brooke Jamieson; Abdel Sghiouar; Dawn Wages; Lena Hall.,Program is curated by the All Things Open conference team and invited open-source/technology experts.,Official 2026 Sponsors + Partners programme includes major technology companies supporting the event.,"Raleigh Convention Center, Raleigh, North Carolina, United States",,https://2026.allthingsopen.org/,https://2026.allthingsopen.org/,https://2026.allthingsopen.org/,https://2026.allthingsopen.org/,https://2026.allthingsopen.org/,https://2026.allthingsopen.org/,https://2026.allthingsopen.org/,https://2026.allthingsopen.org/,https://2026.allthingsopen.org/,https://www.google.com/s2/favicons?domain=2026.allthingsopen.org&sz=256,official-domain favicon fallback,8,accommodation,YES,OFFICIAL VERIFIED,2026-09-11,All Things Open Network
SPE ATCE 2026 Annual Technical Conference and Exhibition,2026-10-21,2026-10-23,Houston,United States,Technical Conference & Exhibition,"SPE's flagship multidisciplinary annual technical conference for exploration and production professionals, combining peer-reviewed technical learning, networking and a major industry exhibition.",ATCE technical papers and presentations are managed through SPE's peer-reviewed technical-program process.,"Paid conference registration is available through SPE, with member and attendee-category pricing through the official registration portal.","21–23 Oct 2026; 300+ technical paper presentations, multidisciplinary technical sessions, exhibition, networking and special events.",,Technical programme managed by Society of Petroleum Engineers committees and discipline specialists.,150+ exhibitors and sponsors participate in ATCE 2026.,"George R. Brown Convention Center, Houston, Texas, United States",Official ATCE travel and hotel booking is provided through the event's Book Your Travel programme.,https://www.atce.org/,https://www.atce.org/,https://www.atce.org/,https://www.atce.org/,https://www.atce.org/,https://www.atce.org/,https://www.atce.org/,https://www.atce.org/,https://www.atce.org/,https://www.google.com/s2/favicons?domain=atce.org&sz=256,official-domain favicon fallback,8,keynote_speakers,YES,OFFICIAL VERIFIED,2026-09-11,Society of Petroleum Engineers (SPE)
ADIPEC 2026 Abu Dhabi International Petroleum Exhibition and Conference,2026-11-02,2026-11-05,Abu Dhabi,United Arab Emirates,Global Energy Conference & Exhibition,"Global energy event bringing governments, NOCs, IOCs, investors, technology companies and service providers together across the full energy value chain.",ADIPEC operates strategic and technical conference programmes with speaker and technical participation managed through its official conference process.,Visitor registration and paid delegate passes are available through the official ADIPEC registration system.,"2–5 Nov 2026; 13 conference programmes and 380+ sessions, plus exhibition, Global Energy Club, leadership roundtables, AI Leadership Roundtables, gala dinner and Young ADIPEC.",Confirmed global voices include H.E. Suhail Mohamed Al Mazrouei; H.E. Dr. Mohamed bin Mubarak Bin Daina; H.E. Karim Badawi; Dr. Georg Stamatelopoulos; Dr. Markus Steilemann; Hunter L. Hunt.,ADIPEC conference programmes are curated with global energy-industry leadership and technical experts under dmg events.,"54 NOCs, IOCs, NECs and IECs participate; official site lists ADNOC, Bapco Energies, Bharat Petroleum, bp, Chevron, CNPC, Dolphin Energy and other partners/sponsors.","ADNEC Centre Abu Dhabi, Abu Dhabi, United Arab Emirates",,https://www.adipec.com/,https://www.adipec.com/,https://www.adipec.com/conferences/,https://www.adipec.com/visit/,https://www.adipec.com/conferences/,https://www.adipec.com/,https://www.adipec.com/conferences/,https://www.adipec.com/,https://www.adipec.com/visit/,https://www.google.com/s2/favicons?domain=adipec.com&sz=256,official-domain favicon fallback,8,accommodation,YES,OFFICIAL VERIFIED,2026-09-11,dmg events / ADIPEC
2026 AIChE Annual Meeting,2026-11-08,2026-11-12,Minneapolis,United States,Engineering Annual Meeting,"AIChE's premier annual educational and technical forum for chemical engineers, bringing academic and industry experts together around research, new technologies and emerging growth areas.",Technical contributions are organized through AIChE's Annual Meeting technical program and participating divisions/forums.,Registration is sold through AIChE with member discounts; annual AIChE membership provides conference registration savings.,"8–12 Nov 2026; technical program, invited and contributed sessions, professional events and sponsor/exhibitor activities.",,"Meeting Program Chair: Prodromos Daoutidis, University of Minnesota. Meeting Program Co-Chair: Cordell Hardy, Cargill.",Official AIChE sponsor and exhibitor program with multiple published 2026 sponsors.,"Minneapolis Convention Center, Minneapolis, Minnesota, United States",Official negotiated conference-room rates at Hilton Minneapolis and Hyatt Regency Minneapolis; hotel booking deadline 14 Oct 2026.,https://www.aiche.org/conferences/aiche-annual-meeting/2026,https://www.aiche.org/conferences/aiche-annual-meeting/2026,https://www.aiche.org/conferences/aiche-annual-meeting/2026,https://www.aiche.org/conferences/aiche-annual-meeting/2026,https://www.aiche.org/conferences/aiche-annual-meeting/2026,https://www.aiche.org/conferences/aiche-annual-meeting/2026,https://www.aiche.org/conferences/aiche-annual-meeting/2026,https://www.aiche.org/conferences/aiche-annual-meeting/2026,https://www.aiche.org/conferences/aiche-annual-meeting/2026,https://www.google.com/s2/favicons?domain=aiche.org&sz=256,official-domain favicon fallback,8,keynote_speakers,YES,OFFICIAL VERIFIED,2026-09-11,AIChE
