conference_name,acronym,category,sub_category,start_date,end_date,city,country,format,overview,call_for_papers,cfp_deadline,fees_and_pricing,program_agenda,keynote_speakers,technical_committee,sponsors,venue,accommodation,organizer,website_or_source,record_status,data_quality_notes
2026 10th International Conference on Communications and Future Internet,ICCFI 2026,Technology,Communications & Future Internet,2026-10-19,2026-10-21,Paris,France,In-person,International conference focused on communications & future internet.,Call for papers / abstract submissions published.,2026-06-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Paris, France",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Communication+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 10th International Conference on Computers in Management and Business,ICCMB 2027,Business & Technology,Computers in Management & Business,2027-02-18,2027-02-20,Basel,Switzerland,In-person,International conference focused on computers in management & business.,Call for papers / abstract submissions published.,2026-09-30,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Sponsored by SAISE and University of Applied Sciences and Arts Northwestern Switzerland; assisted by Hosei University and University of Macau.,"University of Applied Sciences and Arts Northwestern Switzerland, Basel",Not yet announced as of 10 Sep 2026,SAISE / FHNW / ICCMB Organizing Committee,https://www.iconf.com/conference/ICCMB2027_9677,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 10th International Conference on Electrical Engineering and Green Energy,CEEGE 2027,Energy & Engineering,Electrical / Green Energy,2027-05-07,2027-05-09,Suzhou,China,In-person,Academic conference on electrical engineering and green-energy technologies.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical paper sessions and research presentations.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Suzhou, China",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf; details require official-page enrichment.
"2027 10th International Conference on Energy, Electrical and Power Engineering",CEEPE 2027,Energy & Engineering,Power Engineering,2027-04-16,2027-04-18,Tianjin,China,In-person,"Academic conference on energy, electrical systems and power engineering.",Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical paper sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Tianjin, China",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
"10th International Conference on Fracture of Polymers, Composites and Adhesives",ESIS 2027,Science & Engineering,"Polymers, Composites & Adhesives",2027-09-19,2027-09-23,Les Diablerets,Switzerland,In-person,"International conference focused on polymers, composites & adhesives.",Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Glacier Hotel, Les Diablerets, Switzerland",Not yet announced as of 10 Sep 2026,Elsevier conference portfolio,https://www.elsevier.com/events/conferences/all,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 10th International Conference on Intelligent Computing and Virtual & Augmented Reality Simulations,ICVARS 2026,Technology,VR/AR & Intelligent Computing,2026-07-15,2026-07-17,Chalon-sur-Saône,France,In-person,International conference focused on vr/ar & intelligent computing.,Call for papers / abstract submissions published.,2026-03-01,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Chalon-sur-Saône, France",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 10th International Conference on Machine Learning and Machine Intelligence,MLMI 2027,Technology,Machine Learning,2027-07-16,2027-07-19,Tokyo,Japan,In-person,Academic conference on machine learning and machine intelligence.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,"Technical papers, presentations and related sessions.",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Tokyo, Japan",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
10th International Conference on Robotics and Artificial Intelligence,ISTPRAI 2027,Technology & Engineering,Robotics & Artificial Intelligence,2027-03-24,2027-03-25,Paris,France,In-person,International conference focused on robotics & artificial intelligence.,Call for papers / abstract submissions published.,2026-12-31,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Paris, France",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference/10thInternationalConferenceonRoboticsandArtificialIntelligence_9587,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
11th International Conference on Advanced Thin Films and Coatings,ATFC 2027,Science & Engineering,Materials / Coatings,2027-01-08,2027-01-10,Sanya,China,In-person,International conference on advanced thin films and coatings.,"Submission deadline listed Dec 23, 2026.",2026-12-23,Not yet announced as of 10 Sep 2026,Scientific paper sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Sanya, China",Not yet announced as of 10 Sep 2026,Academic Communications / organizers,https://conferencesked.com/conferences/conferences-2027,Discovery verified,Date/deadline from index.
2027 11th International Conference on Biomedical Engineering and Applications,ICBEA 2027,Health & Engineering,Biomedical Engineering,2027-03-26,2027-03-29,Xi'an,China,In-person,International conference focused on biomedical engineering.,Call for papers / abstract submissions published.,2026-10-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Sponsored by Xi'an Jiaotong University; supported by Zhejiang University, Kyushu Institute of Technology, Seoul National University, Meiji University, Shanxi Medical University, College of Life Sciences of Zhejiang University, Zhejiang Bioinformatics Society, Beijing Institute of Technology, and Biology and Bioinformatics Society.","Xi'an, China",Not yet announced as of 10 Sep 2026,Xi'an Jiaotong University / ICBEA Organizing Committee,https://www.iconf.com/conference/ICBEA2027_9592,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 11th International Conference on Civil Engineering,ICOCE 2027,Engineering,Civil Engineering,2027-04-07,2027-04-10,Singapore,Singapore,In-person,International conference focused on civil engineering.,Call for papers / abstract submissions published.,2026-11-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Co-sponsored by Geotechnical Society of Singapore, National Taiwan University and Michigan State University.","Singapore, Singapore",Not yet announced as of 10 Sep 2026,ICOCE Organizing Committee,https://www.iconf.com/conference/ICOCE2027_9778,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 11th International Conference on Education and Distance Learning,ICEDL 2027,Education,Distance Learning,2027-07-01,2027-07-03,Paris,France,In-person,International academic conference on education and distance learning.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Research presentations and education sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Paris, France",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 11th International Conference on Energy Economics and Energy Policy,ICEEEP 2027,Energy & Economics,Energy Economics & Policy,2027-04-09,2027-04-11,Porto,Portugal,In-person,International conference focused on energy economics & policy.,Call for papers / abstract submissions published.,2026-11-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Porto, Portugal",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Energy+and+Resources,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 11th International Conference on Intelligent Computing and Virtual & Augmented Reality Simulations,ICVAR 2027,Technology,VR / AR / Intelligent Computing,2027-06-23,2027-06-25,Wiesbaden,Germany,In-person,"Academic conference on intelligent computing, VR and AR simulations.",Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical paper sessions and demonstrations.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Wiesbaden, Germany",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 11th International Conference on Manufacturing Technologies,ICMT 2027,Engineering,Manufacturing Technologies,2027-01-20,2027-01-23,Kuala Lumpur,Malaysia,In-person,International conference focused on manufacturing technologies.,Call for papers / abstract submissions published.,2026-08-30,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Kuala Lumpur, Malaysia",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 11th International Conference on Materials Engineering and Nano Sciences,ICMENS 2027,Science & Engineering,Materials Engineering & Nanoscience,2027-03-28,2027-03-31,Osaka,Japan,In-person,International conference focused on materials engineering & nanoscience.,Call for papers / abstract submissions published.,2026-11-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Advisory: Osamu Tabata; Arcady Zhukov. Conference Chair: Akihiko Fujiwara. Program Chairs: Liang Li; Takashige Omatsu. Program Co-Chair: Yang He.,Not yet announced as of 10 Sep 2026,"Osaka, Japan",Not yet announced as of 10 Sep 2026,ICMENS Organizing Committee,https://www.iconf.com/conference/ICMENS2027_9523,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 11th International Conference on Power Electronics Systems and Applications,PESA 2026,Energy & Engineering,Power Electronics,2026-11-13,2026-11-15,Singapore,Singapore,In-person,International conference focused on power electronics.,Call for papers / abstract submissions published.,2026-10-05,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Singapore, Singapore",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Energy+and+Resources,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
"2027 11th International Conference on Robotics, Control and Automation",ICRCA 2027,Technology & Engineering,"Robotics, Control & Automation",2027-03-26,2027-03-28,Aizuwakamatsu,Japan,In-person,"International conference focused on robotics, control & automation.",Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,"26 Mar: registration/material collection; 27 Mar: opening, keynote speeches and parallel sessions; 28 Mar: invited speeches and parallel sessions.",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"University of Aizu, Aizuwakamatsu City, Fukushima 965-8580, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference/ICRCA2027_9530,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
12th IAFOR International Conference on Education in Hawaii,IICE2027,Education,Education Research,2027-01-07,,Honolulu,United States,Hybrid,IAFOR international education conference in partnership with University of Hawai'i at Mānoa.,"Call for Papers; early-bird submission deadline Jul 16, 2026.",2026-07-16,Not yet announced as of 10 Sep 2026,"Research presentations, plenaries, panels and networking.",Not yet announced as of 10 Sep 2026,IAFOR conference/program committee.,Partners/sponsors on official event page.,"Honolulu, Hawaii",Not yet announced as of 10 Sep 2026,The International Academic Forum (IAFOR),https://www.conferencesked.com/conferences/conferences-2027,Discovery verified,Date/CFP information from index.
2027 12th International Conference on Advances on Clean Energy Research,ICACER 2027,Energy & Sustainability,Clean Energy Research,2027-04-09,2027-04-11,Porto,Portugal,In-person,International conference focused on clean energy research.,Call for papers / abstract submissions published.,2026-11-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Porto, Portugal",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Energy+and+Resources,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
