"Conference Name","Dates","Venue","Program/Agenda","Keynote Speakers","Technical/Program Committee","Pricing/Registration","Sponsors/Exhibitors","Website","Regional Safety Note"
"20th Vaccine Congress","","","","","","EUR Standard author / Academic registration 1 $850; Student registration 2 $415; Standard industry registration $1070; Additional paper fee $50","","https://www.elsevier.com/events/conferences/all/vaccine-congress",""
"4th NIZO Plant Protein Functionality Conference","","","","","","EUR Academic/Author standard registration rate 1 $635; Student registration rate 2 $400; Industry standard registration rate $785; Conference dinner ticket $70","","https://nizoplantproteinconference.com/",""
"Food Structure & Functionality Symposium","","","","","","EUR Academic/Author standard registration rate 1 $835; Student registration rate 2 $385; Industry standard registration rate $1050; Conference dinner ticket $70","","https://www.elsevier.com/events/conferences/all/food-structure-and-functionality-forum-symposium",""
"2nd Global Cleaner Production Conference","","","","","","EUR Standard Academic Registration 1 $799; Student Registration 2 $495; Standard Industry Registration $899; Conference Dinner Ticket $75; Additional Paper Fee $50","","https://www.elsevier.com/events/conferences/all/global-cleaner-production-conference",""
"2027 19th International Conference on Computer Research and Development","","","","","","USD Student Students $650; Non-Student Regular $700; Student Students $400; Non-Student Regular $450; Student Students $300; Non-Student Regular $350","","https://www.iccrd.org/",""
"SIGGRAPH Asia 2026","","","","","","USD ACM Member (ACM/ACM SIGGRAPH) $975; Non-Member $1175; ACM Member (ACM/ACM SIGGRAPH) $875; Non-Member $975; ACM Student Member $475; ACM/ACM SIGGRAPH Member $950; Non-Member $1150; ACM/ACM SIGGRAPH Member $850; Non-Member $950; ACM Student Member $350","","https://asia.siggraph.org/2026/",""
"7th International Brain Stimulation Conference","","","","","","EUR Early delegates $625; Standard delegates $725; Early Industry $735; Industry $835; Additional paper fee $50","","https://www.elsevier.com/events/conferences/all/international-brain-stimulation-conference",""
"14th Global Conference & Expo on Materials Science and Engineering","","","","","","USD Speaker $699; Student $399; Delegate/ Listener $499; Single Occupancy $350; Speaker $799; Student $499; Delegate/ Listener $599; Speaker $899; Student $599; Delegate/ Listener $699","","https://inovscitechconferences.com/2027/paris/matscieng/",""
"2027 11th International Conference on Biomedical Engineering and Applications","","","","","","USD Author (ICBEA Reviewer) $530; Author (Student) $570; Author (Normal) $630; Listener (Student) $320; Listener (Normal) $350; Academic Visit $50","","https://www.icbea.org/",""
"5th International Conference on Bioresource Technology for Bioenergy, Bioproducts & Environmental Sustainability","","","","","","USD Early academic registration rate 1 $825; Academic registration rate 1 $875; Early student registration rate 2 $475; Late student registration rate 2 $525; Early industry registration rate $880; Late industry registration rate $930; Additional paper fee $50; Conference dinner ticket $75","","https://www.elsevier.com/events/conferences/all/international-conference-on-bioresource-technology-for-bioenergy-bioproducts-and-environmental-sustainability",""
