conference_name,start_date,end_date,city,country,venue,accommodation,organizer,overview,official_url,source_url,call_for_papers,cfp_deadline,cfp_url,fees_and_pricing,registration_url,program_agenda,keynote_speakers,technical_committee,sponsors,logo_url,banner_url
World Summit AI Amsterdam 2026,2026-10-07,2026-10-08,Amsterdam,Netherlands,"Taets Art & Event Park, Amsterdam",Official attendee accommodation partnership with HotelPlanner provides discounted hotel rates for World Summit AI attendees.,InspiredMinds / World Summit AI,"10th-anniversary World Summit AI gathering the global AI ecosystem across research, enterprise deployment, governance, safety, startups, investment and frontier technologies.",https://worldsummit.ai/,https://worldsummit.ai/,Industry summit rather than an academic proceedings conference. The official site accepts applications to speak and startup applications; programming is curated by World Summit AI / InspiredMinds.,Not yet announced,https://worldsummit.ai/speakers/,"Published July ticket price was €899 before increasing to €1,499; official community partners also offer limited promotional discounts, including a 50% partner flash sale scheduled for 14–18 Sep 2026.",https://worldsummit.ai/,"10 tracks and 300+ speakers covering frontier models, sovereign AI, infrastructure, robotics, enterprise transformation, regulation, investment, AI safety and adoption; also includes startup/VC spotlights, AI labs, workshops and networking.",Keynote Speakers: Daphne Koller; Zico Kolter; Marietje Schaake; Simon See; Mark Papermaster; Harrison Chase; Audrey Tang; Anne-Laure de Chammard; Wendy Tan White; Jesper Schleimann; Claudia Nemat; Brian Solis; Helen King; Alice Xiang.,"Committee: Industry summit; no academic technical program committee. Agenda is curated by World Summit AI / InspiredMinds and includes 10 tracks with invited industry, research, policy and investment leaders.","Global Partners: Airia, SAP; Platinum Partner: HP; Gold Partners include Figma and Glean; City of Amsterdam is Headline City Host Partner.",https://worldsummit.ai/wp-content/uploads/sites/4/2022/09/Meta-Logo-400x225.png,https://worldsummit.ai/wp-content/uploads/sites/4/2022/06/quote-650x480.png
AI Infra Summit 2026,2026-09-15,2026-09-17,Santa Clara,United States,"Santa Clara Convention Center, Santa Clara, California",Official attendee hotel and travel guidance is provided through the summit's venue/travel information and partner booking process.,Kisaco Research / AI Infra Summit,"Large Silicon Valley summit focused on AI infrastructure across compute, networking, storage, data centers, data movement, models and physical AI.",https://www.ai-infra-summit.com/,https://www.ai-infra-summit.com/,"Industry summit rather than an academic paper venue. Speaker, sponsor and exhibitor applications are handled through the official summit site.",Not yet announced,https://www.ai-infra-summit.com/,Not yet announced,https://www.ai-infra-summit.com/,"220+ scheduled sessions spanning AI data centers, compute, networking, storage, AI data planes, physical AI, cloud/neocloud operations and enterprise deployment economics.",Keynote Speakers: Published speaker roster includes Calvin Smith; Chaked Roger Joseph Sayedoff; Charit Upadhyay; Chelle Izzi and more than 130 additional AI-infrastructure leaders.,"Committee: Program curated by the AI Infra Summit / Kisaco Research content team across infrastructure, compute, data-center, networking, data and physical-AI tracks.","Diamond: AWS. Platinum sponsors include Ayar Labs, Broadcom, Cognichip, Credo, d-Matrix, Eridu, Kove, Lambda, Lightmatter, Marvell, Micron, Mirantis, Qualcomm, Siemens, Solidigm and Western Digital.",https://cdn.asp.events/CLIENT_Kisaco_R_E0D4AD69_B740_B124_D2ADF5A777880773/sites/AI-Infra-Summit-2026/media/6313_AI_Infrastructure_Summit_Logo_FINAL_Hor_LightBackground.png/fit-in/1200x630/filters:no_upscale(),https://cdn.asp.events/CLIENT_Kisaco_R_E0D4AD69_B740_B124_D2ADF5A777880773/sites/AI-Infra-Summit-2026/media/Andrew-1-.png/fit-in/1024x999/filters:no_upscale()
MAICON 2026,2026-10-13,2026-10-15,Cleveland,United States,"Cleveland, Ohio, United States",Official hotel/travel guidance is provided to registered attendees through MAICON's event information.,Marketing AI Institute,"Marketing Artificial Intelligence Conference focused on practical AI adoption, generative AI, automation, AI strategy, content, analytics and business transformation.",https://www.maicon.ai/,https://www.maicon.ai/,Industry event with curated practitioner and expert speaker submissions rather than an academic proceedings CFP.,Not yet announced,https://www.maicon.ai/,Not yet announced,https://www.maicon.ai/,"Keynotes, breakout sessions, practitioner talks, workshops and networking focused on responsible and practical AI use in marketing and business.",Keynote Speakers: The conference features AI experts and practitioners from the Marketing AI Institute community; the current 2026 speaker roster is published by the organizer.,Committee: Program is curated by the Marketing AI Institute content and events team.,Technology and service providers participate through MAICON sponsorship and exhibitor packages.,https://www.marketingaiinstitute.com/hs-fs/hubfs/social-suggested-images/www.marketingaiinstitute.comhs-fshubfs2022%20Website%20RedesignLogosMAII%20Logo_horz_main@2x-Mar-13-2025-05-43-39-2641-PM.png?width=780&amp;height=288&amp;name=www.marketingaiinstitute.comhs-fshubfs2022%20Website%20RedesignLogosMAII%20Logo_horz_main@2x-Mar-13-2025-05-43-39-2641-PM.png,https://www.marketingaiinstitute.com/hubfs/MAICON%202026%20Website%20%3E%20Featured%20Image.png
AICON 2026 — AI for Everyone,2026-10-08,2026-10-09,Singapore,Singapore,"*SCAPE, 2 Orchard Link, Singapore 237978",Not yet announced,AICON / CreativesAtWork / partner organisations,"Human-first AI festival designed for consumers, creators, businesses, educators and families, combining practical AI learning, workshops, creative experiences and responsible-AI discussion.",https://www.aicon.show/,https://www.aicon.show/,"No academic CFP. Speakers, creators and programme partners are curated by the AICON organising team.",Not yet announced,https://www.aicon.show/,Not yet announced,https://www.aicon.show/,"Day 1: AI for Humanity Impact Forum with keynotes and panels on governable frontier AI, commercialization, governance and impact. Day 2: AI for Everyone Forum with AI for SMEs, creative economy, agency, youth AI literacy and Ask-Me-Anything sessions; 50+ workshops/talks and 6+ immersive zones.","Keynote Speakers: Dr James Ong; Jaze Phua; Jayce Tham; additional government, industry, creator and education speakers are listed in the official programme.","Committee: Organisers/team include Dr James Ong, Jaze Phua, Jayce Tham, Kent Teo, Cameron Liu and Gabriel Wee.",Supported by Tesla; NTUC Employment and Employability Institute (e2i); Singtel; *SCAPE; DesignSingapore Council support is also listed for programme elements.,"https://static.wixstatic.com/media/780020_d83db61f3a464fd287e57b9d5a19457e~mv2.png/v1/crop/x_0,y_2,w_1018,h_371/fill/w_148,h_54,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/AICON%20LOGO%20BLACK.png","https://static.wixstatic.com/media/780020_f1476015c6ab4ea78fc1c0b93a0c2f7f~mv2.png/v1/crop/x_0,y_189,w_1923,h_441/fill/w_916,h_209,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/banner.png"
The AI Conference 2026,2026-09-29,2026-10-01,San Francisco,United States,"Pier 48, Mission Rock, San Francisco, California",San Francisco accommodation is arranged independently; official event/travel information is provided through the event site.,The AI Conference,"Independent AI conference for builders, researchers, founders and technical leaders covering frontier models, agentic AI, infrastructure, safety, evaluation and real-world applications.",https://aiconference.com/,https://aiconference.com/,Industry/research conference with curated speaker and workshop submissions rather than conventional archival proceedings.,Not yet announced,https://aiconference.com/,Not yet announced,https://aiconference.com/,"Workshop day on 29 Sep followed by main conference on 30 Sep–1 Oct; 5+ tracks across AGI, LLMs, agents, infrastructure, governance, security and applied enterprise AI.","Keynote Speakers: Peter Norvig is a confirmed 2026 speaker; the event features 120+ speakers from frontier labs, startups, enterprises and academia.","Committee: Program is curated by The AI Conference content/program team with technical speakers from AI research, infrastructure, enterprise and startup communities.",Sponsor and exhibitor program is active for the 2026 edition; participating AI infrastructure and software companies are presented through the official event partner directory.,https://aiconference.com/wp-content/uploads/2023/05/AI_Conference.png,https://aiconference.com/wp-content/uploads/2026/02/Unitree.jpg
NVIDIA GTC Berlin 2026,2026-10-20,2026-10-22,Berlin,Germany,"Berlin, Germany — official GTC Berlin conference venues published through NVIDIA",Official GTC travel and attendee information is provided through NVIDIA's Berlin event pages.,NVIDIA,"NVIDIA's European GTC focused on accelerated computing, AI factories, agentic AI, physical AI, robotics, digital twins and production AI systems.",https://www.nvidia.com/,https://www.nvidia.com/en-eu/gtc/,Curated NVIDIA technical conference; session proposals and partner participation are managed through NVIDIA GTC channels rather than an academic CFP.,Not yet announced,https://www.nvidia.com/en-eu/gtc/,Conference registration and training are sold through NVIDIA GTC; certification exams at the event are included for on-site attendees and represent a published €115–€425 value. Group training purchases of 3+ seats receive 30% off.,https://www.nvidia.com/en-eu/gtc/,"20 Oct includes full-day workshops. 21–22 Oct include conference sessions, two-hour training labs, certification exams and technical programming on AI inference, agents, robotics, networking, BioNeMo, medical AI, digital twins and CUDA.",Keynote Speakers: NVIDIA executives and technical leaders headline the event; keynote and session rosters are published through the official GTC Berlin agenda.,"Committee: Program is curated by NVIDIA GTC's engineering, developer-relations, product and training teams.",NVIDIA partner ecosystem participates through the GTC expo and partner program.,https://www.nvidia.com/content/nvidiaGDC/us/en_US/home/_jcr_content/root/responsivegrid/nv_carousel/item_1754638349016/nv_image.coreimg.png/1789046993653/ai-infra-event-logo.png,https://www.nvidia.com/content/nvidiaGDC/us/en_US/home/_jcr_content/root/responsivegrid/nv_carousel_10568374_662431768/nv_teaser_copy_20067.coreimg.jpeg/1789046996610/cuda-press-corp-blog-isc26-1920x1080.jpeg
PyTorch Conference North America 2026,2026-10-20,2026-10-21,San Jose,United States,"San Jose McEnery Convention Center, 150 W San Carlos St, San Jose, CA 95113","Official room block at San Jose Marriott, 301 South Market St; conference rate starts at US$289 plus taxes/fees; room block closes 25 Sep 2026, subject to availability.",PyTorch Foundation / Linux Foundation,"PyTorch Foundation's North America conference for researchers, developers and practitioners working across the open-source AI stack, including PyTorch, vLLM, DeepSpeed, Ray, Helion and Safetensors.",https://events.linuxfoundation.org/,https://events.linuxfoundation.org/pytorch-conference-north-america/,"Call for Proposals sought breakout sessions and posters emphasizing implementation details, architectural insights and developer tooling across PyTorch Foundation projects and AI/ML technical tracks.",2026-05-01,https://pytorch.org/blog/call-for-proposals-open-for-pytorch-conference-north-america-2026/,"Late attendee US$999; academic US$249. Earlier attendee rates were US$499 super-early, US$599 early and US$799 standard.",https://events.linuxfoundation.org/pytorch-conference-north-america/register/,"Two days of keynotes, technical talks, hands-on workshops, posters and community sessions covering training/inference, compilers, responsible AI, security/privacy, frameworks, agentic AI, vLLM and production ML systems.",Keynote Speakers: Mark Collier; Mazin Gilbert; Edward Yang; Alban Desmaison; Simon Mo; Bill Jia; Brian Stevens; Ujval Kapasi; Sara Hooker; Jana van Greunen; Chris Lattner; Joelle Pineau; Yiwei Song; Mark Saroufim.,Committee: Conference content and CFP managed by the PyTorch Foundation / Linux Foundation event programming team; speaker/CFP contact published as Cassandra Reyes-Jones.,"Official sponsor program includes Diamond, Platinum, Gold, Silver, Bronze and Startup/Non-Profit/VC tiers; sponsor participation is administered by the Linux Foundation.",https://events.linuxfoundation.org/wp-content/themes/lfevents/src/images/lf-events-logo.svg,https://events.linuxfoundation.org/wp-content/themes/lfevents/src/images/linux-foundation-hztl-white.svg
RoboBusiness 2026,2026-10-20,2026-10-21,Santa Clara,United States,"Santa Clara Convention Center, Santa Clara, California",Official venue/travel guidance and nearby lodging options are provided by RoboBusiness for attendees.,WTWH Media / RoboBusiness,"Commercial robotics and automation event focused on building, deploying and scaling intelligent robots, including service robotics, AI, perception, motion, autonomy and robotics business models.",https://www.robobusiness.com/,https://www.robobusiness.com/,Industry conference with curated speaker submissions and partner/exhibitor participation rather than an academic archival-paper CFP.,Not yet announced,https://www.robobusiness.com/,Not yet announced,https://www.robobusiness.com/,"Technical sessions, keynotes, panels, exhibits and networking covering robotics design, autonomy, AI, software, sensors, motion, safety, manufacturing and commercialization.","Keynote Speakers: Current speaker roster includes robotics executives, founders, engineers and investors; speaker names are published on the official RoboBusiness program.",Committee: Program is curated by the RoboBusiness editorial and conference team.,Robotics technology vendors and solution providers participate through official sponsor and exhibitor programs.,https://www.robobusiness.com/wp-content/uploads/2022/05/robobusiness-black-logo-large.png,https://www.robobusiness.com/wp-content/uploads/2023/06/networking_reception.jpg
25th Mexican International Conference on Artificial Intelligence,2026-11-02,2026-11-06,Chihuahua,Mexico,"Tecnológico de Monterrey, Campus Chihuahua","Recommended main venue hotel: Hotel María Bonita Chihuahua, approximately 15–20 minutes from the venue; additional hotel options are published on the official Venue & Travel page.",Mexican Society for Artificial Intelligence (SMIA) / Tecnológico de Monterrey,"Mexico's leading annual AI conference and an established international forum for artificial intelligence, machine learning, data science, robotics, IoT, healthcare and education.",https://micai.org/,https://micai.org/2026/,Main-paper deadline 30 Jun 2026; workshop papers and demo showcase use separate calls. Accepted papers follow Springer publication workflows and conference presentation requirements.,2026-06-30,https://micai.org/2026/authors/,"Attendee early bird: Student US$90, SMIA member US$105, Regular US$150; later US$120/135/180. Author early bird: SMIA member US$600, Regular US$690; later US$660/750. Co-author/innovation pass early bird US$105 member / US$150 regular.",https://micai.org/2026/registration/,"Five-day conference with main technical sessions, workshops, tutorials, demo showcase, keynote activities, awards and gala/networking activities.",Not yet announced,"General Chair: Hiram Ponce. Program Chairs: Gilberto Ochoa and Iris Méndez. Workshops: Roberto Vazquez, Gustavo Arroyo, David Pinto. Tutorials: Joanna Alvarado, Claudia González, Josué Ruiz. Keynote Talks Committee: Bella Martínez.","Jointly organized by Mexican Society for Artificial Intelligence (SMIA) and Tecnológico de Monterrey, Campus Chihuahua; event site also lists regional/institutional partners and sponsors.",https://micai.org/wp-content/uploads/2026/05/FR-MX_LOGOTIPO-2026-v3-scaled.png,https://micai.org/wp-content/uploads/2026/03/micai2026_1.png
MIT AI Conference 2026 — AI: The Age of Agency,2026-10-17,2026-10-17,Mountain View,United States,"Mountain View, California, United States",Not yet announced,MIT Club of Northern California,"10th annual MIT AI Conference focused on the age of AI agency, bringing together researchers, engineers, executives, founders and investors.",https://www.mitaiconference.org/,https://www.mitaiconference.org/,Curated conference; no conventional archival-paper CFP.,Not yet announced,https://www.mitaiconference.org/,Not yet announced,https://www.mitaiconference.org/,"Keynotes, panels, workshops and live demonstrations focused on agentic AI, applied AI, enterprise deployment and the future of intelligent systems.","Keynote Speakers: The 2026 program includes invited AI researchers, engineers, founders and executives; the organizer publishes the current speaker roster on the event site.",Committee: Program is curated by the MIT Club of Northern California / MIT AI Conference organizing team.,Sponsor and partner opportunities are offered through the event organizer.,https://www.mitaiconference.org/logo.svg,https://www.mitaiconference.org/images/OG-Image.jpg
