conference_name,acronym,category,sub_category,start_date,end_date,city,country,format,overview,call_for_papers,cfp_deadline,fees_and_pricing,program_agenda,keynote_speakers,technical_committee,sponsors,venue,accommodation,organizer,website_or_source,record_status,data_quality_notes,source_url,official_url,official_url_status,domain_type,logo_url,logo_source_type,cfp_url,registration_url,program_url,committee_url,last_url_verified,date_precision,verification_status,v3_standard_version
20th Vaccine Congress,Vaccine Congress 2026,Health & Medicine,Vaccines & Immunology,2026-09-14,2026-09-16,Seville,Spain,In-person,International conference focused on vaccines & immunology.,Not yet announced as of 10 Sep 2026,,,,,,,,Not yet announced as of 10 Sep 2026,Elsevier conference portfolio,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.elsevier.com/en-gb/events/conferences/all,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 6th International Conference on Intelligent Technology and Embedded Systems,ICITES 2026,Technology,Embedded Systems,2026-09-18,2026-09-21,Hangzhou,China,In-person,International conference focused on embedded systems.,Call for papers / abstract submissions published.,2026-05-30,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=Communication+Engineering,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 8th International Conference on Circuits and Systems,ICCS 2026,Engineering,Circuits & Systems,2026-09-18,2026-09-21,Hangzhou,China,In-person,International conference focused on circuits & systems.,Call for papers / abstract submissions published.,2026-05-20,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=Communication+Engineering,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 9th International Conference on Information Communication and Signal Processing,ICICSP 2026,Technology,Signal Processing & Communications,2026-09-18,2026-09-20,Shanghai,China,In-person,International conference focused on signal processing & communications.,Call for papers / abstract submissions published.,2026-03-25,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=Communication+Engineering,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 9th International Conference on Healthcare Service Management,ICHSM 2026,Health & Management,Healthcare Management,2026-09-24,,Isparta,Türkiye,In-person,International conference on healthcare service management.,Not yet announced as of 10 Sep 2026,,,Research and management sessions.,,,,,Not yet announced as of 10 Sep 2026,Conference organizers,,Discovery index,missing official URL; missing end date; venue not verified,https://worldconferencecalendar.com/,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 6th International Conference on Computer Communication and Information Systems,CCCIS 2026,Technology,Computer Communication & Information Systems,2026-09-25,2026-09-27,Malacca,Malaysia,In-person,International conference focused on computer communication & information systems.,Call for papers / abstract submissions published.,2026-05-20,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://cccis.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference?tags=Communication+Engineering,https://cccis.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=cccis.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
EDUCAUSE Annual Conference 2026,EDUCAUSE 2026,Education,Higher Education Technology,2026-09-29,2026-10-02,Denver,United States,Hybrid,Large higher-education IT conference for technology leaders and professionals.,Presenter/speaker opportunities offered through EDUCAUSE calls.,,,"Higher-ed IT strategy, cybersecurity, infrastructure, digital learning and leadership sessions.",Featured speakers published by EDUCAUSE.,Program committees and EDUCAUSE staff curate content.,Exhibit and sponsor program available.,"Denver, Colorado",Official conference housing/travel options provided.,EDUCAUSE,https://events.educause.edu/annual-conference/2026,Official confirmed,,https://events.educause.edu/annual-conference/2026,https://events.educause.edu/annual-conference/2026,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=events.educause.edu&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2026 4th International Conference on Power and Renewable Energy Engineering,PREE 2026,Energy & Engineering,Power / Renewable Energy,2026-10-03,,Tokyo,Japan,In-person,International conference on power and renewable energy engineering.,Not yet announced as of 10 Sep 2026,,,Technical sessions and papers.,,,,,Not yet announced as of 10 Sep 2026,Conference organizers,,Discovery index,missing official URL; missing end date; venue not verified,https://worldconferencecalendar.com/,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
Cell Press Symposia: Hallmarks of Aging,Hallmarks of Aging 2026,Health & Science,Aging Biology,2026-10-04,2026-10-06,Seville,Spain,In-person,International conference focused on aging biology.,Not yet announced as of 10 Sep 2026,,,,,,,,Not yet announced as of 10 Sep 2026,Cell Press / Elsevier,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.elsevier.com/en-gb/events/conferences/all,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
World Health Summit 2026,WHS 2026,Health & Policy,Global Health,2026-10-11,2026-10-13,Berlin,Germany,Hybrid,High-level global health summit listed for October 2026.,Participation and abstract/speaker mechanisms vary by program.,,Pricing pending.,"75+ sessions including opening night, signature event and five keynote sessions.",Mirjana Spoljaric Egger; Viktor Liashko; Budi Sadikin; Jane Halton; Hiroyuki Okuzawa; Teresa Harris Graham; Catherine Kyobutungi; Diene Keita; Christopher Murray; Axel R. Pries.,Curated scientific/policy program.,Partners include global health institutions; current list on organizer site.,Hotel InterContinental Berlin,Hotel/travel guidance via organizer.,World Health Summit,https://www.worldhealthsummit.org/events/annual-whs/2026,Discovery index,,https://impactconvene.com/conferences/,https://www.worldhealthsummit.org/events/annual-whs/2026,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,https://www.worldhealthsummit.org/registration/participation,https://www.worldhealthsummit.org/events/annual-whs/2026,,2026-09-11,day,OFFICIAL_VERIFIED,CG-2026-09-11-v1
4th NIZO Plant Protein Functionality Conference,NIZO Plant Protein 2026,Food & Agriculture,Plant Protein,2026-10-13,2026-10-16,Papendal,Netherlands,In-person,International conference focused on plant protein.,Not yet announced as of 10 Sep 2026,,,,,,,,Not yet announced as of 10 Sep 2026,NIZO / Elsevier conference portfolio,https://nizoplantproteinconference.com/,DISCOVERY VERIFIED,venue not verified,https://www.elsevier.com/en-gb/events/conferences/all,https://nizoplantproteinconference.com/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=nizoplantproteinconference.com&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
Food Structure & Functionality Symposium,FSFS 2026,Food & Science,Food Structure & Functionality,2026-10-18,2026-10-21,Grado,Italy,In-person,International conference focused on food structure & functionality.,Not yet announced as of 10 Sep 2026,,,,,,,"Palazzo Regionale dei Congressi, Grado, Italy",Not yet announced as of 10 Sep 2026,Elsevier conference portfolio,,DISCOVERY VERIFIED,missing official URL,https://www.elsevier.com/en-gb/events/conferences/all,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 10th International Conference on Communications and Future Internet,ICCFI 2026,Technology,Communications & Future Internet,2026-10-19,2026-10-21,Paris,France,In-person,International conference focused on communications & future internet.,Call for papers / abstract submissions published.,2026-06-10,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iccfi.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference?tags=Communication+Engineering,https://www.iccfi.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=www.iccfi.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
Cell Symposia: Taking Programmed Cell Death from Mechanisms to Interventions,Cell Death 2026,Health & Science,Cell Death & Therapeutics,2026-10-22,2026-10-24,Hangzhou,China,In-person,International conference focused on cell death & therapeutics.,Not yet announced as of 10 Sep 2026,,,,,,,,Not yet announced as of 10 Sep 2026,Cell Press / Elsevier,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.elsevier.com/en-gb/events/conferences/all,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
