conference_name,start_date,end_date,city,country,venue,accommodation,organizer,overview,official_url,source_url,call_for_papers,cfp_deadline,cfp_url,fees_and_pricing,registration_url,program_agenda,keynote_speakers,technical_committee,sponsors,logo_url,banner_url
Bett UK 2026,2026-01-21,2026-01-23,London,United Kingdom,"ExCeL London, Royal Victoria Dock, London E16 1XL, UK.",,Hyve Group / Bett / BESA,"EdTech / K-12 / higher education / education leadership. Global education-technology show connecting educators, policymakers and suppliers.",https://uk.bettshow.com/,https://uk.bettshow.com/bett-uk-2026-agenda/official-opening-bett-2026,"Official speaker, exhibitor and programme participation routes support Bett's agenda.",,https://uk.bettshow.com/,Education-professional visitor passes are offered through the official Bett registration system.,https://uk.bettshow.com/,Jan 21–23; Arena and exhibition programming from morning through 18:00 on first two days and 17:00 final day.,"The Rt Hon Bridget Phillipson MP — UK Secretary of State for Education; Duncan Verry — Bett Portfolio Director; Caroline Wright — Director General, BESA.",Bett and education partners curate programme stages and content.,Large sponsor/exhibitor ecosystem across global education technology.,Bett UK 2026,Bett UK 2026
APAIE 2026 Conference and Exhibition,2026-02-23,2026-02-27,Hong Kong,Hong Kong,"Hong Kong Convention and Exhibition Centre, Hong Kong.",,Asia-Pacific Association for International Education (APAIE),International higher education / student mobility / global partnerships. Five-day conference and exhibition themed 'Asia-Pacific Partnerships for the Global Good.',https://apaie.net/conferences/apaie-2026/,https://apaie.net/conferences/apaie-2026/ | https://apaie.net/conferences/apaie-2026/program/ | https://apaie.net/conferences/apaie-2026/registration/,Session/proposal process supported the conference programme and speaker rate.,,https://apaie.net/conferences/apaie-2026/,"Delegate USD 800 early / 900 standard / 1,120 onsite; Speaker USD 700; Student USD 600.",https://apaie.net/conferences/apaie-2026/registration/,"Feb 23–27 with pre-conference workshops, three conference/exhibition days, 3 plenaries and hundreds of presentations.","Robin Lee — Hong Kong filmmaker and cinematographer, Opening Ceremony keynote.",APAIE programme team and association governance administer the programme.,398 booth spaces for 600+ exhibiting organisations; conference sponsors/exhibitors acknowledged officially.,APAIE 2026 Conference and Exhibition,APAIE 2026 Conference and Exhibition
didacta 2026 – The Education Fair,2026-03-10,2026-03-14,Cologne,Germany,"Koelnmesse, Messeplatz 1, 50679 Cologne, Germany.",,Koelnmesse GmbH / Didacta Association,Early childhood / schools / higher education / TVET / lifelong learning / EdTech. Europe's largest education fair and professional-development event.,https://www.didacta-koeln.de/,https://www.didacta-koeln.de/die-messe/didacta/daten-fakten/ | https://www.didacta.de/en/didacta-the-education-fair,Exhibitor and programme participation are offered across fair segments and five forum stages.,,https://www.didacta-koeln.de/,Paid visitor tickets are sold through Koelnmesse; professional-development events are included in the fair programme.,https://www.didacta-koeln.de/,"Mar 10–14; around 2,000 events, five forum stages and 700+ exhibitors across early education, schools, higher education, vocational training and lifelong learning.","Prof. Dr. Mona Massumi — Fachhochschule Münster, keynote in vocational-education programme; numerous education policy and practice speakers.",Didacta Association curates five forum stages and serves as conceptual sponsor.,729 exhibitors from 58 countries plus official fair partners and cooperation organisations.,didacta 2026 – The Education Fair,didacta 2026 – The Education Fair
ECIS Physical Education Conference 2026,2026-03-26,2026-03-28,Zurich,Switzerland,"Zurich International School, Zurich, Switzerland.",,Educational Collaborative for International Schools (ECIS),Physical education / international schools / pedagogy. Conference themed 'From Playground to Purpose: Cultivating Lifelong Movement Identity.',https://ecis.org/event/physicaleducation2026/,https://ecis.org/event/physicaleducation2026/,ECIS special-interest-group conference with practitioner sessions and workshops.,,https://ecis.org/event/physicaleducation2026/,GBP 450–500.,https://ecis.org/event/physicaleducation2026/,"Mar 26 09:00–Mar 28 17:00; four tracks on tools, pedagogy, movement identity and lifelong physical wellbeing.",International-school physical education practitioners and specialist presenters.,ECIS Physical Education Special Interest Group organises the conference.,Kukri and Gopher — official sponsors.,ECIS Physical Education Conference 2026,ECIS Physical Education Conference 2026
AERA Annual Meeting 2026,2026-04-08,2026-04-12,"Los Angeles, California",United States,"Los Angeles Convention Center, Los Angeles, California, USA.",Connections Housing is the only official AERA housing provider.,American Educational Research Association,"Education research / educational policy / pedagogy. The world's largest gathering of education researchers, with 2,500+ sessions under the theme 'Unforgetting Histories and Imagining Futures.'",https://www.aera.net/AERA2026,https://www.aera.net/AERA2026 | https://www.aera.net/Events-Meetings/Annual-Meeting/2026-Annual-Meeting,"2026 Annual Meeting accepted paper, session and research submissions.",2025-08-01,https://www.aera.net/Events-Meetings/Annual-Meeting/2026-Annual-Meeting,"Paid registration with member/nonmember, student and other categories; registration and housing opened Jan 7, 2026.",https://www.aera.net/AERA2026,"Apr 8–12; 2,500+ sessions plus professional-development courses, major lectures, awards sessions and research presentations.","Bryan Brayboy — Northwestern University, AERA Distinguished Lecture; Bianca Baldridge — Harvard Graduate School of Education, Wallace Foundation Distinguished Lecture.","AERA programme committees, divisions and SIGs administer peer review and programme development.",Exhibits and sponsorship programme available through AERA.,AERA Annual Meeting 2026,AERA Annual Meeting 2026
Bett Brasil 2026,2026-05-05,2026-05-08,São Paulo,Brazil,"Expo Center Norte, São Paulo, Brazil.",,Bett Brasil,"EdTech / school management / pedagogy / AI. Latin America's major education and technology event, themed around individual, collective and artificial intelligences.",https://brasil.bettshow.com/bettbrasil2026,https://brasil.bettshow.com/bettbrasil2026,Conference participation and speaker programming are curated through Bett Brasil; commercial/exhibitor routes available.,,https://brasil.bettshow.com/bettbrasil2026,Paid congress registration and exhibition access are provided through Bett Brasil's official registration platform.,https://brasil.bettshow.com/bettbrasil2026,"May 5–8; 13 simultaneous auditoriums, 144+ hours of content and 450+ speakers.",450+ education and technology speakers participate across congress stages.,Bett Brasil programme leadership curates the conference and stage content.,Major education/EdTech exhibitors and partners participate in the official event.,Bett Brasil 2026,Bett Brasil 2026
NAFSA 2026 Annual Conference & Expo,2026-05-26,2026-05-29,"Orlando, Florida",United States,"Orange County Convention Center, Orlando, Florida, USA.",Official HQ hotel and housing/travel guidance provided by NAFSA.,NAFSA: Association of International Educators,International education / student mobility / higher education partnerships. Major annual conference for international educators under the theme 'Global by Design.',https://www.nafsa.org/2026,https://www.nafsa.org/2026/program | https://www.nafsa.org/2026/schedule-glance | https://www.nafsa.org/2026/registration,"Programme includes proposal-driven learning sessions, poster fairs and workshops.",,https://www.nafsa.org/2026/program,Paid member/nonmember conference registration plus paid workshops; volunteers may receive 50–100% registration reimbursement.,https://www.nafsa.org/2026/registration,"May 24–25 preconference workshops/Management Development Program; May 26–29 main conference with concurrent sessions, expo, summits and networking.",Featured speakers are published through the official NAFSA 2026 programme.,NAFSA volunteer/programme committees curate conference learning and professional development.,"NAFSA Expo and official sponsorship programme support plenaries, programmes and special events.",NAFSA 2026 Annual Conference & Expo,NAFSA 2026 Annual Conference & Expo
36th Annual EAIE Conference and Exhibition 2026,2026-09-15,2026-09-18,Glasgow,United Kingdom,"Glasgow, Scotland, UK.","EAIE provides venue, hotel and travel guidance for Glasgow.",European Association for International Education (EAIE),International higher education / mobility / partnerships / global engagement. 36th Annual EAIE Conference themed 'The Rhythm of Revolution.',https://www.eaie.org/events/glasgow.html,https://www.eaie.org/events/glasgow.html,Session proposal process supports the conference programme and professional learning.,,https://www.eaie.org/events/glasgow.html,Paid registration with conference and workshop pricing; official pricing page available through EAIE.,https://www.eaie.org/events/glasgow.html,"Sep 15–18; 240+ sessions and activities, exhibition, workshops, plenaries and networking for 7,300+ international education professionals.",Beau Lotto; Lewis Iwu — plenary speakers.,EAIE programme committees and association staff curate conference sessions.,Hosting partners and official sponsors are acknowledged by EAIE.,36th Annual EAIE Conference and Exhibition 2026,36th Annual EAIE Conference and Exhibition 2026
EdTech Korea Fair 2026,2026-09-17,2026-09-19,Seoul,South Korea,"COEX Hall A, Seoul, South Korea.",,"Ministry of Education; Ministry of Trade, Industry and Energy; Korea Digital Education Association; Korea EdTech Industry Association","EdTech / AI / digital learning / lifelong learning / smart classrooms. National education-technology fair themed 'Edtech, Your AX Partner from Class to Career.'",https://www.edtechkorea.or.kr/,https://akei.or.kr/bbs/board.php?bo_table=schedule&wr_id=104546 | https://innovation.cau.ac.kr/,Exhibitor and Innovation Arena participation are part of the 2026 event.,,https://www.edtechkorea.or.kr/,Admission is free with pre-registration or on-site registration.,https://www.edtechkorea.or.kr/,"Sep 17–18 10:00–18:00; Sep 19 10:00–17:00. Programmes cover AI/digital education policy, EdTech applications, smart classrooms, lifelong learning and educational robotics.","Government, education and EdTech experts participate in policy and innovation programmes.","Hosted by Korean education and industry ministries/associations, with NIPA and KOTRA among organisers.",Government and industry partners support the event.,EdTech Korea Fair 2026,EdTech Korea Fair 2026
Bett Asia 2026,2026-09-23,2026-09-24,Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia.",,Bett,"EdTech / digital learning / AI / education leadership. Southeast Asia EdTech leadership event for educators, policymakers, school leaders and innovators.",https://asia.bettshow.com/home,https://asia.bettshow.com/home | https://asia.bettshow.com/agendas/event-agenda/official-opening-of-bett-asia-2026,Speaker and exhibitor participation supported through Bett Asia's programme.,,https://asia.bettshow.com/home,Free ticket available for eligible attendees.,https://asia.bettshow.com/home,"Sep 23–24; CPD-accredited Leadership Summit, Classroom Theatre, Tech User Labs and roundtable discussions.",John Gwyn Jones MBE and other regional education leaders appear in the official speaker programme.,Bett Asia programme team and partners curate stages and learning tracks.,Official exhibitors and partners participate across the event.,Bett Asia 2026,Bett Asia 2026
