"Conference Name","Dates","Venue","Program/Agenda","Keynote Speakers","Technical/Program Committee","Pricing/Registration","Sponsors/Exhibitors","Website","Regional Safety Note"
"AAPG International Conference & Exhibition (ICE) 2026","7-9 December 2026","Nusantara International Convention Exhibition (NICE), Tangerang Regency (Greater Jakarta), Indonesia","3-day program across 7 themes: (1) Exploration Opening New Frontiers & Emerging Plays, (2) Exploration in Mature Basins & Future Potential, (3) Digital Transformation & Data Management, (4) Unconventional Plays & Opportunities, (5) Basin Analysis & Petroleum Systems, (6) SEPM Research Symposium, (7) Energy Transition & CCS. Opening Ceremony, plenary sessions, parallel technical sessions, posters, field trips, short courses, Women in Energy panel, student/YP career sessions.","Metee Saengsrichun (PTTEP) - Deepwater Exploration; Steve Chappell/Robert Clarke/Joshua Dixon (Wood Mackenzie) - International Shale Exploration; Israel Polonio (Aker BP) - Seismic Geomorphology; Jonathan Salo & Simon Lang (Univ. Western Australia) - Bintuni Basin Stratigraphy; Mohamad Jamaal Hoesni (Beicip) - Petroleum System Evaluation; Sugiarto Hartono (SLB) - Unified Data Platforms/OSDU; John Kaldi (CO2CRC & Adelaide University) - CCS in ASEAN; Claudio Nini (ENI). Invited Talk: Maria Mutti (University of Potsdam).","Herman Darman (Pertamina), Leonardus Tjahjadi (Independent), Redo Waworuntu (Medco), Keyu Liu (China University of Petroleum), Minarwan (Conrad), Enry Horas Sihombing (ExxonMobil), Sarawute Chantraprasert (PTTEP), Dwandari Ralanarko (Pertamina), Sandip Kumar Roy (Independent), Mellinda Arisandy (Petronas), Prashant Chaturvedi (PDO), Albertus Pradipta (BP), Hade Maulin (Pertamina), Meor Hakif (GSM), Karthikeyan (Shell), Rosanele Romero (Wood Mackenzie), Clare Barker-White (S&P), Reny Samsu (Independent), Grandika Primadani (S&P), Sau Hooi Yee (Petronas), K.L. Chong (TGS-Malaysia), Irnisha Gheamarsa (PT Geoservices); Theme Chairs also include Septriandi Chan (NESR), Stacy Primus Liew (S&P), Leslie Wood (Colorado School of Mines), Victorien Paumard (Univ. Western Australia), Peter Grant (Botala Energy).","Not extracted - registration portal (iceevent.org/2026/registration-information) blocks automated access; check site directly for current member/non-member/student rates.","Principal Sponsor & Host: Pertamina (PHE). Sponsoring Organization: AAPG. Host Society: Indonesian Petroleum Association (IPA). Full exhibitor list/floor plan on Expocad (aapgseg.expocad.com/Events/cie26jk).","https://iceevent.org/2026/",""
"AAPG Rocky Mountain Section Annual Meeting 2026","24-26 October 2026","Montana Technological University (MontanaTech), Butte, Montana","Theme: 'UNEARTH new OPPORTUNITIES.' 15+ proposed sessions: Rocky Mountain Petroliferous Basins (Big Horn, DJ, Paradox, Powder River, San Juan, Uinta-Piceance, Williston); Unconventional/Tight Reservoir geology & engineering (Bakken, Mancos-Mowry, Mesaverde, Niobrara-Mowry); Geothermal Resources in Montana/Mountain West; Geologic Hydrogen & Helium E&P; Carbon Sequestration & Natural Gas Storage; Petroleum-Critical Minerals intersection; Orphaned/Abandoned Wells remediation; Produced Water management. Call for Abstracts closed 1 September 2026 (no extensions).","Not yet announced","Managed by the RMS Executive Committee (Section Officers + representatives of its 11 affiliated societies); individual meeting-specific committee names not yet published.","Not yet published; registration also listed via Eventbrite.","Sponsorship program open (tiered levels); specific sponsor/exhibitor names not yet published.","https://www.rms-aapg2026.com/",""
"West Texas Geological Society (WTGS) and Southwest Section (SWS) AAPG Centennial Conference","12-16 September 2026","Bush Convention Center, Midland, Texas","Theme: 'A Century Beneath the Surface' (WTGS 100th anniversary, est. 1926). Sat 9/12: 100-Year Anniversary Core Workshop (17 cores from 1920-1934 Permian Basin discoveries) + K-12 Teacher Workshop 'Rock Solid: Teaching with Energy'. Sun 9/13: Vendor Setup, FREE all-day short course 'Fundamentals of Siliciclastic Sequence Stratigraphy' (instructor John Holbrook, TCU), Icebreaker. Mon 9/14: Full-day SWS AAPG presentations, DPA Luncheon, Casino Night social at Petroleum Club of Midland (6-10pm). Tue 9/15: Full-day WTGS presentations, Networking Luncheon, Happy Hour. Wed 9/16: Half-day WTGS presentations, Ethics Luncheon. Thu 9/17: 58th Annual Rockhound Classic golf tournament + field trip departure. Call for Papers: abstracts due 26 June 2026 to submissions@wtgs.org, 500-word max, 20+5 min oral slots.","Not yet announced","Not yet announced","Hosted on PheedLoop (site.pheedloop.com/event/wtgs2026/home) - blocks automated access; no dollar figures could be pulled. Check link directly.","Sponsorship opportunities available (e.g. Casino Night social); specific sponsor names not yet published.","https://www.wtgs.org/news/2026-wtgs-sws-aapg-centennial-conference",""
"5th Edition AAPG/EAGE Hydrocarbon Seals of the Middle East GTW","28-30 September 2026","Kuwait City, Al Ahmadi, Kuwait","3-day workshop. Objectives: move beyond thickness-only seal evaluation to cover rock mineralogy/lithofacies, brittle-ductile behavior, hydrocarbon phase/column height, structural reactivation/tilted fluid contacts, pressure regimes, CO2 storage seal assessment. Themes: regional/intraformational seals with field analogues; sequence stratigraphy/facies/diagenesis vs seal development; seal architecture in carbonate/evaporite/siliciclastic/mixed sequences; static & dynamic sealing capacity; integrating petrophysical/rock mechanics/seismic/engineering data; structural geology & geomechanics impact on seals; fault seal capacity; CCS seal evaluation. Oral presentations and posters.","Not yet announced","Bader Al-Ajmi (KOC), Mohammed Rashid (KOC), Aisha Al-Hajri (PDO), Ali Al-Ghamdi (Aramco), Jassim Al Safwani (Aramco), Mohammed Al Saleh (Aramco), Hemant Singh (Baker Hughes), Said Al Balushi (CCED), Nicolas Hawie (Halliburton), Hamad Al-Hamad (KOC), Mohammad Al-Mershed (KOC), Sayed Behbehani (KOC), Mohammad Al-Naqi (Kuwait University), Laiyyan Al Kharusi (Occidental Oman), Nestor Danilo Vasconez Noguera (SLB), plus additional members (full list on site).","USD - Non-Member $1,850; Member (AAPG/EAGE/DGS/GSO/KGS) $1,650; Committee/Presenter $1,550; Young Professional (under 35, <10 yrs exp) $850; Academia $500; Student (pursuing Master's) $350. Fees include onsite documentation, coffee breaks, luncheons. Refund: full minus $100 fee if cancelled 30+ days prior; no refund inside 30 days.","Platinum Sponsor: KPC (Kuwait Petroleum Corporation, via new sub-brand logo shown). Supporting Organization: Kuwait Geosciences Society (KGS).","https://www.aapg.org/event-details/5th-edition-aapg-eage-hydrocarbon-seals-of-the-middle-east-gtw/","Kuwait has experienced Iranian drone/missile strikes on infrastructure during the active, ongoing 2026 Iran war (began 28 Feb 2026, resumed after a ceasefire that collapsed 8 July 2026; large attack wave hit Jordan, Bahrain, Kuwait and Iraq on 1-2 Sept 2026). Confirm event status directly with organizers before travel."
"7th Biennial AAPG Mid-Continent Section Field Conference","2-4 October 2026","Oklahoma State University, Stillwater, Oklahoma","Biennial Mid-Continent Section field conference; hosted via Tulsa Geological Society listing. Detailed technical agenda not yet published.","Not yet announced","Not yet announced","Not yet published","Not yet announced","https://tulsageologicalsociety.wildapricot.org/event-6789490",""
"3rd Edition Structural Styles of the Middle East","12-14 October 2026 (plus optional short course 11 Oct, field trip 15-16 Oct)","Crowne Plaza Muscat by IHG, Qurum Heights, Muscat, Oman","GTW on structural styles of the Arabian Plate & Zagros/Makran regions. 5 themes across half-day sessions: Latest Advances on Tectonic Evolution of the Middle East; Case Studies in Structural Evaluation of Complex Reservoirs/Traps/Storage; Salt Tectonics in the Middle East; Digital Tools/Data Analytics/AI in Structural Geology; Examples of Structurally Influenced Resource Plays & Hydrocarbon Fields. Includes poster session, breakout sessions, and an optional one-day short course 'Interpretation of Structural Styles - Enhanced Through Generative AI' (11 Oct, instructor Pascal Richard/PRgeology, fee $590, registration deadline 15 Sept 2026) and a 2-day field trip 'Structural Styles of Eastern Arabia - Jabal Akhdar Dome' (15-16 Oct, fee $550 incl. 1-night hotel, guided hike, meals, transport; registration deadline 1 Sept 2026).","Inaugural Keynote: Mohammed Al-Mazrui (Exploration Director, PDO). Technical Keynotes: Simon Stewart (Aramco) - 'Structural Style Frontiers - A Perspective from Saudi Arabia'; Wilfried Bauer (GUTech) - 'The Neoproterozoic Basement of Oman'.","Oskar Vidal Royo (Terractiva), Andreas Scharf (Sultan Qaboos University), Elias Al Kharusi (Petrogas), Meshal Al-Wadi (KOC), Christian Heine (Shell), Antoine Delaunay (KAUST), Ivan Callegari (GUTech), David Repol (PDO), Majid Aljamed (Aramco), plus additional members (full list on site).","USD - General Non-Member $1,850; Member (AAPG/DGS/GSO/KGS) $1,650; Committee/Presenter $1,550; Young Professional (under 35, <10 yrs exp) $850; Academia $500; Student (graduate degree) $350.","Platinum Sponsors: Aramco, Petroleum Development Oman (PDO). Gold Sponsor: PTTEP. Lanyard Sponsor: Petrogas. Exhibitors: Petex, SLB.","https://www.aapg.org/event-details/3rd-edition-structural-styles-of-the-middle-east/","Oman has seen Iranian drone strikes on the Port of Duqm and Port of Salalah during the ongoing 2026 Iran war/Strait of Hormuz crisis (active as of Sept 2026). Confirm event status directly with organizers before travel."
"AAPG Eastern Section Annual Meeting 2026","26-27 October 2026","Canonsburg, Pennsylvania","Annual meeting of AAPG's Eastern Section; program not yet published on AAPG's calendar listing.","Not yet announced","Not yet announced","Not yet published","Not yet announced","https://www.aapg.org/events/calendar/",""
"Latin America and Caribbean Region Student & Young Professional Leadership Summit 2026","6-8 November 2026","Bogota, Colombia","Leadership-development summit for geoscience students and young professionals across AAPG's Latin America & Caribbean Region; agenda not yet published in detail.","Not yet announced","Not yet announced","Not yet published","Sponsorship opportunities open (see event page 'Become a Sponsor' section); names not yet published.","https://www.aapg.org/event-details/latin-america-and-caribbean-region-student-young-professional-leadership-summit-2026/",""
"Suriname Technical Symposium 2026 (3rd Edition)","18-19 November 2026","Torarica Resort, Paramaribo, Suriname (Rietbergplein 1)","Theme: 'The Emergence of the Guiana Basin in Global Exploration, Development and Production'. Builds on prior events (Jan 2024, May 2025). Program themes: Regional and Basin Studies; Emerging Play Concepts in Frontier Areas; Advancing Geoscience and AI Technologies; Data Acquisition Technologies; Oil and Gas Developments and Production; Environmental Considerations. Includes keynote talks from Staatsolie/Ministry reps, executive panels (e.g. 'Unlocking the Next Frontier: Exploration, Emerging Plays, and the Future of the Atlantic Margin'), technical presentations, poster sessions, student career development session, Q&A.","Welcome/Opening Remarks: Sharista Kalapnat-Kisoensingh (Exploration Manager - Offshore Directorate, Staatsolie). Keynote talks from Staatsolie and Ministry representatives (specific keynote names not fully itemized on site beyond opening remarks).","Sharista Kisoensingh (Staatsolie), Harris Saifi Hakimi (Petronas), Muhammad Ridzal Ridhuwan (Petronas), Shiladitya Sengupta (TotalEnergies), Dirk Erickson (Chevron), Eddie McAllister (Shell), David Haddox (ExxonMobil), Vanisha Chedi (Staatsolie), plus additional members.","USD, tax included. Early Bird (pay by 18 Oct) / Standard: Professional Nonmembers $895/$995; Professional Members $795/$895; Presenters/Session Chairs $595/$695; Professional one-day only $495/$595; Academic/AAPG Emeritus $445/$545; Student Nonmembers $175/$195; Student Members (limit 20) $150/$165. 'Registration Opening Soon' noted on page as of fetch date.","Principal Sponsor: Staatsolie. Gold: TotalEnergies. Supporting Organization: SEG. Sponsorship tiers range Patron ($2,500+) to Principal ($30,000+), with items like Opening Reception ($20,000), Lanyards ($10,000), Poster Session ($7,500), etc.","https://www.aapg.org/event-details/suriname-technical-symposium-2026/",""
"5th Edition Stratigraphic Traps of the Middle East","23-25 November 2026","Manama, Bahrain","Workshop continuing prior editions' focus on stratigraphic trap exploration - case studies, emerging technologies, industry-academia collaboration. Detailed session-by-session agenda and downloadable brochure not fully accessible via search at time of research; check AAPG event page directly.","Not yet announced","Not yet announced","Not yet published; prior editions have used similar tiered pricing (Non-Member/Member/Presenter/Young Professional/Academia/Student) to other Middle East GTWs (~$350-$1,850 range) - not confirmed for this specific edition.","Not yet announced","https://www.aapg.org/event-details/5th-edition-stratigraphic-traps-of-the-middle-east/","Bahrain has been directly and repeatedly struck by Iranian drones/missiles during the active, ongoing 2026 Iran war, including hits on residential towers (Fontana Towers, March 2026), a Crowne Plaza hotel, the US Fifth Fleet HQ in Manama, and a desalination plant. Strongly recommend confirming event status directly with AAPG/organizers before finalizing any travel."
