"Conference Name","Dates","Venue","Program/Agenda","Keynote Speakers","Technical/Program Committee","Pricing/Registration","Sponsors/Exhibitors","Website","Regional Safety Note"
"2026 4th International Conference on Power and Renewable Energy Engineering","","","","","Publication Chairs: CHEUNG Chun Ching (City University of Hong Kong). International Technical Committee: Adnan Ibrahim (National University of Malaysia)","","","https://www.pree.net/",""
"2026 9th International Conference on Healthcare Service Management","","","","","Committees: Honorary Chairs; Rotating Chairs Prof. Dr. Sedat Bostan (Süleyman Demirel University); Scientific Advisory Board; Student Essay Competition Award Chairs; Publicity Chair Prof. Dr. Chi-Jie Lu (Fu Jen Catholic University); Res. Ast.Muazzez Yelsiz (Süleyman Demirel University, Turkiye)","","","https://www.ichsm.org/",""
"SPE Asia Pacific Oil & Gas Conference and Exhibition 2026","","","","","","","Origin; 6-featuredimage; SUT; JPT; Petroleum Australia; World Oils; Energy Stream; Tourism and Events Queensland","https://www.spe-events.org/apogce2026",""
"Cell Press Symposia: Biological Function in 3D — Structure, Dynamics, and AI","","","","","Mingjie Zhang (Southern University of Science & Technology, China); Nieng Yan (Shenzhen Medical Academy of Research & Translation (SMART), China); Karin Kühnel; Lara Szewczak; Lei Tang; Wei Wu","","","https://cell-press-symposia.com/3Dbiologicalfunction-2026/index.html",""
"20th Vaccine Congress","","","","","Committee & Speakers: Maria Elena Bottazzi (Baylor College of Medicine, USA); WashU Medicine; ErasmusMC Rotterdam. Committee: Melbourne Children's Campus; HKU Med; National Public Health Organization","","Vaccine opens in new tab/window; Guide for Authors opens in new tab/window; Reviewer Hub opens in new tab/window; Vaccine; Vaccine: X opens in new tab/window; Vaccine: X; Bioknow opens in new tab/window; Bioknow; Square: 1044 x 1044 opens in new tab/window; Leaderboard: 1000 x 130 opens in new tab/window; Lilly.com opens in new tab/window; Lilly; Vismederi; https://idevax.com opens in new tab/window. Media: Bioknow opens in new tab/window; Bioknow; Square: 1044 x 1044 opens in new tab/window; Leaderboard: 1000 x 130 opens in new tab/window. Silver: Lilly.com opens in new tab/window; Lilly; Vismederi; https://idevax.com opens in new tab/window","https://www.elsevier.com/events/conferences/all/vaccine-congress",""
"2026 11th International Conference on Power Electronics Systems and Applications","","","June 10, 2026: Special session proposal submissions: .","Keynote: C. K. Michael Tse (City University of Hong Kong, Hong Kong); Akshay Kumar Rathore (National University of Singapore, Singapore); Hoay Beng GOOI (Nanyang Technological University, Singapore); Kwok Wai Ma Infineon; Sanjib Kumar Panda (National University of Singapore, Singapore); Kerui Li (City University of Hong Kong, Hong Kong); Yang Wu (Nanyang Technological University, Singapore); Shuang Zhao (Hefei University of Technology, China); Zhong Chen (University of Arkansas, USA); Dawei Qiu (Nanyang Technological University, Singapore); Sanjib Kumar Panda (S’86-M’91-SM’01-F’21) received B. Eng. Degree from the South Gujarat University)","","","","https://www.icpesa.net/",""
"RSNA Annual Meeting 2026","","","","","RSNA Committees | Lead. Innovate. Make an Impact.: Time Commitment","","RSNA 2026 logo mark; purchase; innovation; diverse; Impact","https://www.rsna.org/annual-meeting",""
"2026 6th International Joint Conference on Robotics and Artificial Intelligence","","","","Keynote: Tao Zhou; Brief Introduction","General Chairs: General Chairs. General Co-Chairs: General Co-Chairs. Publication Chairs: Publication Chairs. Publicity Chairs: Publicity Chairs. Award Chairs: Award Chairs. Finance Chairs: Finance Chairs. Local Chairs: Local Chairs. Committee 2026: Huiting Zhang (Taiyuan University of Technology); Michail Kalogiannakis (University of Crete); Vali Derhami (Yazd University); Magdi S. Mahmoud (King Fahd University of Petroleum and Minerals Saudi Arabia); Amr Goneid (The American University in Cairo); Giuseppe Carbone (University of Cassino and South Latium); Jonah Lissner (Israel Institute of Technology); Vincenzo Piuri (Università degli Studi di Milano); Lucian Vintan (Lucian Blaga University of Sibiu); Antonis Vardulakis (Aristotle University of Thessaloniki); Mariofanna Milanova (University of Arkansas); Pavlo Maruschak (Ternopil Ivan Puluj National Technical University); Tarek M. Sobh (Lawrence Technological University); Panagiotis Vlamos (Ionian University); Lounis Adouane (Université de Technologie de Compiègne / Heudiasyc); Gabriel Gomes de Oliveira (Universidade Estadual de Campinas); Costantin Volosencu (Politehnica University of Timisoara); D. T. Pham (University of Birmingham Great Britain); Albert M. K. Cheng (University of Houston); Zlatinka Kovacheva (Bulgarian Academy of Sciences); Stefano Mariani; Jee Hou Ho (University of Nottingham Malaysia); Igor Kotenko (St.Petersburg Institute for Informatics and Automation of the Russian Academy of Sciences); Jonghwa Kim (Cheju Halla University); Milena Krumova (European Institute for Technologies); KAMBAYASHI Yasushi (Nippon Institute of Technology); Ioan Sacala (University Politehnica of Bucharest); Sophia C. Alih (Universiti Teknologi Malaysia); Piotr Gierlakq (Rzeszow University of Technology); Zhiyu Jiang (Northwestern Polytechnical University); Khalid Saeed Lateef Al-Badri (Sulyman Demiral University); Ramiz Aliguliyev (Azerbaijan National Academy of Sciences); Paulo Moura Oliveira (University of Tr&aacute;s-os-Montes and Alto Douro); Juan Manuel Corchado (University of Salamanca); Mokhtar Benasla (University of Sidi-Bel-Abbes); Malka N. Halgamuge (The University of Melbourne); Mohand Djeziri (Aix-Marseille University); Apostolos Gkamas (Patras University); Joydev Ghosh (Tomsk Polytechnic University); Ho Duc Tho (Toyohashi University of Technology); Carlos Guardiola (Universitat Politecnica de Valencia); AOUED HOUARI (UHBC University); Loris Roveda; Karim Negadi (University of Tiaret); Mirjalily Ghasem (Department of Electrical Engineering); Huaming Wu (Center for Applied Mathematics Tianjin University); Vu Van Phong (National Central University); Abdel-Nasser Sharkawy Ahmed Mahmoud (South Valley University); Mohsen Bahreini (Shiraz University of Technology); Ali-Akbar Ahmadi (Kharazmi University); Alexey M. Kashevnik (Petrozavodsk State University); Akif Durdu (Konya Technical University); Tangwei Ye (DeepBlue Academy of Sciences); Zhiyong Dai (DeepBlue Academy of Sciences); Seyedshams Feyzabadi (University of California); Yazen Hudhaifa Shakir Alnema (Ninevah University); Masashi Sugimoto (Tokyo University of Agriculture)","","","https://www.jcrai.org/",""
"2026 9th International Conference on Environment and Ocean Engineering","","","Friday, November 27. 10:00-17:00: Sign-in and Conference materials collections. 15:00-17:00: Committee&Excutive meeting. Saturday, November 28. 09:30-09:40: Opening Ceremony. 09:40-10:20: Keynote Speech 1. 10:20-10:40: Group photo and Coffee Break. 10:40-11:20: Keynote Speech 2. 11:20-12:00: Keynote Speech 3. 12:00-13:30: Lunch. 13:30-15:30: Technical Session 1 and 2. 15:30-15:40: Coffee Break. 15:40-17:40: Technical Session 3 and 4. 17:40-18:00: Dinner Banquet and Award Ceremony. Sunday, November 29. 09:00-16:00: Academic Visit organized by UTH. November. : The final conference agenda with detailed time for each presentation will be available around early The timetable below is just for your reference. Please finish your registration in advance for your presence. Kindly noted that the conferen","Keynote: Jun-Ho Huh (National Korea Maritime and Ocean University, Republic of Korea)","Organizing Committee: Xuan-Phuong Nguyen (Rector of University of Transport HCMC); Xuan-Kien Dang (University of Transport HCMC); Tien-Thuy Nguyen (Vice President of University of Transport HCMC); Baoming Han (Beijing Jiao Tong University); Zarko Koboevic (University of Dubrovnik); Viet-Dung Do (Mechanical Institute); Thanh-Binh Nguyen (University of Transport HCMC)","","","https://www.iceoe.org/",""
"Food Structure & Functionality Symposium","","","","","Organizers: Food Structure; Alejandra Acevedo-Fani (Riddet Institute); Isaac Heertje Distinguished Scientist Award; Anne-Marie Hermansson (Chalmers University of Technology); Jose M. Aguilera (The Pontifical Catholic University of Chile, Chile); Alan Mackie (University of Leeds, UK); Milos Kalab; Nissim Garti (The Hebrew University of Jerusalem, Israel); Isaac Heertje; Marta Martínez (Institute of Food Science Research (CIAL), Spain); Fabio Valoppi (University of Helsinki, Finland); Tara Grauwet (Centre of Food and Microbial Technology, Laboratory of Food Technology (LFT), KU Leuven, Belgium.); Andrew Gravelle (University of Guelph, Canada); Quinten Masijn (Thermal aggregation of potato protein in food systems); Lennaert Sanders (Ghent University); Tiago C. Pinto (University of Helsinki Department of Food and Nutrition); Konstantinos Korompokis; Irene Wainaina; Daniela Freitas (Teagasc Food Research Centre); Isabel Kalinke (Technical University of Munich); Talita Comunian; Akane Matsumoto (Hiroshima University); Ram Raj Panthi (University College Cork); Martina Klost (Technische Universität Berlin); L.C. Sow (National University of Singapore, Singapore); Annelien Rigolle (Teagasc Moorepark Food Research Center, Co. Cork, Ireland). Committee & Speakers: Ulf Andersen (Wageningen University & Research)","","LS Instruments","https://www.elsevier.com/events/conferences/all/food-structure-and-functionality-forum-symposium",""
